epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,57832.1,0.38607,0.2299,0.83718,0.91159,0.72667,0.84539,0.65235,0.80062,0.51804,0.99984,0.0003566,0.0003566,0.0003566
85,58616.2,0.38005,0.22982,0.83295,0.91406,0.72931,0.85412,0.65666,0.8065,0.54986,1.01325,0.0003368,0.0003368,0.0003368
86,59337.4,0.38322,0.22891,0.83283,0.91792,0.70294,0.83501,0.6461,0.81686,0.57808,1.02283,0.000317,0.000317,0.000317
87,60018.3,0.38458,0.22552,0.83337,0.90049,0.74978,0.85503,0.65749,0.79672,0.49958,1.0049,0.0002972,0.0002972,0.0002972
88,60742.1,0.37266,0.22396,0.83067,0.93143,0.71333,0.84523,0.65139,0.80573,0.54072,1.00774,0.0002774,0.0002774,0.0002774
89,61566.9,0.37173,0.22091,0.83168,0.93833,0.71429,0.85319,0.65349,0.81959,0.55577,1.00516,0.0002576,0.0002576,0.0002576
90,62293.7,0.36698,0.21902,0.82668,0.91532,0.71238,0.83446,0.64576,0.80094,0.57037,0.98095,0.0002378,0.0002378,0.0002378
91,63622.6,0.35288,0.20035,0.80556,0.87053,0.73333,0.83838,0.64197,0.80795,0.55602,1.00238,0.000218,0.000218,0.000218
92,64659.6,0.35035,0.19895,0.80395,0.88656,0.72201,0.83248,0.64085,0.81921,0.57744,1.01486,0.0001982,0.0001982,0.0001982
93,65636.2,0.34795,0.19518,0.80432,0.91559,0.72286,0.84178,0.65204,0.79819,0.5472,0.99212,0.0001784,0.0001784,0.0001784
94,66432.9,0.34155,0.19181,0.80072,0.9282,0.70571,0.84199,0.65379,0.80526,0.57376,0.99939,0.0001586,0.0001586,0.0001586
95,67390.2,0.33844,0.18848,0.79652,0.94212,0.69759,0.83602,0.64796,0.80675,0.59323,1.01316,0.0001388,0.0001388,0.0001388
96,68328.2,0.33887,0.18818,0.79856,0.91423,0.70857,0.83528,0.65071,0.80369,0.5889,1.00069,0.000119,0.000119,0.000119
97,69240.3,0.33428,0.188,0.79893,0.93926,0.7069,0.84303,0.65504,0.80643,0.56762,1.00689,9.92e-05,9.92e-05,9.92e-05
98,70090.2,0.33042,0.18533,0.80231,0.92416,0.70952,0.83925,0.65537,0.80609,0.56661,1.0106,7.94e-05,7.94e-05,7.94e-05
99,70999.7,0.32522,0.18099,0.79783,0.93831,0.70571,0.84727,0.65992,0.80385,0.56277,0.99838,5.96e-05,5.96e-05,5.96e-05
100,71896.6,0.32079,0.18035,0.79899,0.91634,0.7198,0.8442,0.65902,0.79659,0.56646,0.99504,3.98e-05,3.98e-05,3.98e-05
